ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight,Length,Width,Height,Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Images,Limit purchase to 1 item per order
1,simple,penitenciariaA-1,Adocyl,1,0,visible,"","","taxable","",1,100,,0,1,0.1,,,,1,"",,6.9,"Alimentos > Adoçante Líquido","mock/images/adocante_adocyl.png",1
2,simple,penitenciariaA-2,Zero Cal,1,0,visible,"","","taxable","",1,100,,0,1,0.1,,,,1,"",,8.93,"Alimentos > Adoçante Líquido","mock/images/adocante_zero_cal.png",1
3,simple,penitenciariaA-3,Vitarella,1,0,visible,"","","taxable","",1,100,,0,1,0.35,,,,1,"",,7.93,"Alimentos > Bolacha","mock/images/bolacha_vitarella.png",1
4,simple,penitenciariaA-4,Mabel (rosquinha),1,0,visible,"","","taxable","",1,100,,0,1,0.5,,,,1,"",,8.97,"Alimentos > Bolacha","mock/images/bolacha_mabel.png",1
5,simple,penitenciariaA-5,Marilan (maizena),1,0,visible,"","","taxable","",1,100,,0,1,0.35,,,,1,"",,9.25,"Alimentos > Bolacha","mock/images/bolacha_marilan.png",1
6,simple,penitenciariaA-6,Pão de Forma Tradicional,1,0,visible,"","","taxable","",1,100,,0,1,0.4,,,,1,"",,9.9,"Alimentos > Pão de Forma","mock/images/paodeforma_tradicional.png",1
7,simple,penitenciariaA-7,Kim - Bolo Laranja,1,0,visible,"","","taxable","",1,100,,0,0,0.25,,,,1,"",,9.9,"Alimentos > Bolo Industrializado","mock/images/bolo_kim_laranja.png",
8,simple,penitenciariaA-8,Kim - Bolo Abacaxi,1,0,visible,"","","taxable","",1,100,,0,0,0.25,,,,1,"",,9.9,"Alimentos > Bolo Industrializado","mock/images/bolo_kim_abacaxi.png",
9,simple,penitenciariaA-9,Kim - Bolo Coco,1,0,visible,"","","taxable","",1,100,,0,0,0.25,,,,1,"",,9.9,"Alimentos > Bolo Industrializado","mock/images/bolo_kim_coco.png",
11,simple,penitenciariaA-11,Hersey's,1,0,visible,"","","taxable","",1,100,,0,0,0.082,,,,1,"",,9.47,"Alimentos > Chocolates","mock/images/chocolate_hersheys.png",
12,simple,penitenciariaA-12,Nestlé Classic,1,0,visible,"","","taxable","",1,100,,0,0,0.08,,,,1,"",,12.5,"Alimentos > Chocolates","mock/images/chocolate_nestle_classic.png",
13,simple,penitenciariaA-13,Nestlé Meio Amargo,1,0,visible,"","","taxable","",1,100,,0,0,0.08,,,,1,"",,12.5,"Alimentos > Chocolates","mock/images/chocolate_nestle_meioamargo.png",
15,simple,penitenciariaA-15,Sweet Kiss,1,0,visible,"","","taxable","",1,100,,0,1,0.5,,,,1,"",,16.9,"Alimentos > Balas (pacote)","mock/images/bala_sweet_kiss.png",1
16,simple,penitenciariaA-16,Tira Gosto Bacon,1,0,visible,"","","taxable","",1,100,,0,1,0.045,,,,1,"",,2.75,"Alimentos > Salgadinhos","mock/images/salgadinho_tiragosto_bacon.png",1
17,simple,penitenciariaA-17,Tira Gosto Cebola,1,0,visible,"","","taxable","",1,100,,0,1,0.045,,,,1,"",,2.75,"Alimentos > Salgadinhos","mock/images/salgadinho_tiragosto_cebola.png",1
18,simple,penitenciariaA-18,Tira Gosto Queijo,1,0,visible,"","","taxable","",1,100,,0,1,0.045,,,,1,"",,2.75,"Alimentos > Salgadinhos","mock/images/salgadinho_tiragosto_queijo.png",1
19,simple,penitenciariaA-19,Pipoca Doce (Pippos),1,0,visible,"","","taxable","",1,100,,0,1,0.08,,,,1,"",,2.75,"Alimentos > Salgadinhos","mock/images/salgadinho_pippos.png",1
20,simple,penitenciariaA-20,Guarapan (Tampico),1,0,visible,"","","taxable","",1,100,,0,1,0.5,,,,1,"",,5.5,"Bebidas > Refri","mock/images/refri_guarapan.png",1
21,simple,penitenciariaA-21,Dolly 2L,1,0,visible,"","","taxable","",1,100,,0,1,2,,,,1,"",,8.5,"Bebidas > Refri","mock/images/refri_dolly_2l.png",1
22,simple,penitenciariaA-22,Del Valle Uva,1,0,visible,"","","taxable","",1,100,,0,1,1,,,,1,"",,6.9,"Bebidas > Suco","mock/images/suco_del_valle_uva.png",1
23,simple,penitenciariaA-23,Del Valle Manga,1,0,visible,"","","taxable","",1,100,,0,1,1,,,,1,"",,6.9,"Bebidas > Suco","mock/images/suco_del_valle_manga.png",1
24,simple,penitenciariaA-24,Del Valle Maracujá,1,0,visible,"","","taxable","",1,100,,0,1,1,,,,1,"",,6.9,"Bebidas > Suco","mock/images/suco_del_valle_maracuja.png",1
25,simple,penitenciariaA-25,Del Valle Laranja,1,0,visible,"","","taxable","",1,100,,0,1,1,,,,1,"",,6.9,"Bebidas > Suco","mock/images/suco_del_valle_laranja.png",1
26,simple,penitenciariaA-26,Café Almofada,1,0,visible,"","","taxable","",1,100,,0,1,0.5,,,,1,"",,10.5,"Alimentos > Café","mock/images/cafe_almofada.png",1
27,simple,penitenciariaA-27,Miojo - Galinha,1,0,visible,"","","taxable","",1,100,,0,1,0.085,,,,1,"",,3.0,"Alimentos > Macarrão Instantâneo","mock/images/miojo_galinha.png",1
28,simple,penitenciariaA-28,Miojo - Carne,1,0,visible,"","","taxable","",1,100,,0,1,0.085,,,,1,"",,3.0,"Alimentos > Macarrão Instantâneo","mock/images/miojo_carne.png",1
29,simple,penitenciariaA-29,Miojo - Queijo,1,0,visible,"","","taxable","",1,100,,0,1,0.085,,,,1,"",,3.0,"Alimentos > Macarrão Instantâneo","mock/images/miojo_queijo.png",1
30,simple,penitenciariaA-30,Sabonete Dove,1,0,visible,"","","taxable","",1,100,,0,1,0.090,,,,1,"",,5.3,"Higiene > Sabonete","mock/images/sabonete_dove.png",1
31,simple,penitenciariaA-31,Sabonete Francis,1,0,visible,"","","taxable","",1,100,,0,1,0.090,,,,1,"",,4.5,"Higiene > Sabonete","mock/images/sabonete_francis.png",1
32,simple,penitenciariaA-32,Sabonete Palmolive,1,0,visible,"","","taxable","",1,100,,0,1,0.090,,,,1,"",,4.9,"Higiene > Sabonete","mock/images/sabonete_palmolive.png",1
33,simple,penitenciariaA-33,Sabonete Protex,1,0,visible,"","","taxable","",1,100,,0,1,0.090,,,,1,"",,5.7,"Higiene > Sabonete","mock/images/sabonete_protex.png",1
34,simple,penitenciariaA-34,Desodorante Rexona,1,0,visible,"","","taxable","",1,100,,0,1,0.150,,,,1,"",,12.0,"Higiene > Desodorante","mock/images/desodorante_rexona.png",1
35,simple,penitenciariaA-35,Desodorante Axe,1,0,visible,"","","taxable","",1,100,,0,1,0.150,,,,1,"",,13.5,"Higiene > Desodorante","mock/images/desodorante_axe.png",1
36,simple,penitenciariaA-36,Desodorante Dove,1,0,visible,"","","taxable","",1,100,,0,1,0.150,,,,1,"",,13.9,"Higiene > Desodorante","mock/images/desodorante_dove.png",1
37,simple,penitenciariaA-37,Desodorante Bozzano,1,0,visible,"","","taxable","",1,100,,0,1,0.150,,,,1,"",,10.9,"Higiene > Desodorante","mock/images/desodorante_bozzano.png",1
38,simple,penitenciariaA-38,Desodorante Nivea,1,0,visible,"","","taxable","",1,100,,0,1,0.150,,,,1,"",,11.9,"Higiene > Desodorante","mock/images/desodorante_nivea.png",1
39,simple,penitenciariaA-39,Creme Dental Colgate,1,0,visible,"","","taxable","",1,100,,0,1,0.080,,,,1,"",,4.8,"Higiene > Creme Dental","mock/images/creme_colgate.png",1
40,simple,penitenciariaA-40,Creme Dental Sorriso,1,0,visible,"","","taxable","",1,100,,0,1,0.080,,,,1,"",,3.9,"Higiene > Creme Dental","mock/images/creme_sorriso.png",1
41,simple,penitenciariaA-41,Creme Dental Oral-B,1,0,visible,"","","taxable","",1,100,,0,1,0.080,,,,1,"",,5.2,"Higiene > Creme Dental","mock/images/creme_oralb.png",1
42,simple,penitenciariaA-42,Escova Dental Colgate,1,0,visible,"","","taxable","",1,100,,0,1,0.050,,,,1,"",,3.5,"Higiene > Escova Dental","mock/images/escova_colgate.png",1
43,simple,penitenciariaA-43,Escova Dental Oral-B,1,0,visible,"","","taxable","",1,100,,0,1,0.050,,,,1,"",,4.2,"Higiene > Escova Dental","mock/images/escova_oralb.png",1
