[12-Aug-2025 23:32:53 UTC] PHP Fatal error:  Cannot redeclare cj_mp_wc_status() (previously declared in /home/u344231864/domains/clickjumbo.com.br/public_html/wp/wp-content/plugins/clickjumbo-core/includes/functions/orders/process-order.php:16) in /home/u344231864/domains/clickjumbo.com.br/public_html/wp/wp-content/plugins/clickjumbo-core/includes/functions/payments/mercadopago.php on line 95
[12-Aug-2025 23:32:53 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>woocommerce</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /home/u344231864/domains/clickjumbo.com.br/public_html/wp/wp-includes/functions.php on line 6121
[13-Aug-2025 00:08:17 UTC] PHP Deprecated:  strpos(): Passing null to parameter #1 ($haystack) of type string is deprecated in /home/u344231864/domains/clickjumbo.com.br/public_html/wp/wp-includes/functions.php on line 7360
[13-Aug-2025 00:08:17 UTC] PHP Deprecated:  str_replace(): Passing null to parameter #3 ($subject) of type array|string is deprecated in /home/u344231864/domains/clickjumbo.com.br/public_html/wp/wp-includes/functions.php on line 2195
[13-Aug-2025 00:08:17 UTC] PHP Deprecated:  strpos(): Passing null to parameter #1 ($haystack) of type string is deprecated in /home/u344231864/domains/clickjumbo.com.br/public_html/wp/wp-includes/functions.php on line 7360
[13-Aug-2025 00:08:17 UTC] PHP Deprecated:  str_replace(): Passing null to parameter #3 ($subject) of type array|string is deprecated in /home/u344231864/domains/clickjumbo.com.br/public_html/wp/wp-includes/functions.php on line 2195
[13-Aug-2025 00:08:17 UTC] PHP Deprecated:  strpos(): Passing null to parameter #1 ($haystack) of type string is deprecated in /home/u344231864/domains/clickjumbo.com.br/public_html/wp/wp-includes/functions.php on line 7360
[13-Aug-2025 00:08:17 UTC] PHP Deprecated:  str_replace(): Passing null to parameter #3 ($subject) of type array|string is deprecated in /home/u344231864/domains/clickjumbo.com.br/public_html/wp/wp-includes/functions.php on line 2195
[13-Aug-2025 00:08:17 UTC] PHP Deprecated:  strpos(): Passing null to parameter #1 ($haystack) of type string is deprecated in /home/u344231864/domains/clickjumbo.com.br/public_html/wp/wp-includes/functions.php on line 7360
[13-Aug-2025 00:08:17 UTC] PHP Deprecated:  str_replace(): Passing null to parameter #3 ($subject) of type array|string is deprecated in /home/u344231864/domains/clickjumbo.com.br/public_html/wp/wp-includes/functions.php on line 2195
[13-Aug-2025 00:09:56 UTC] PHP Deprecated:  strpos(): Passing null to parameter #1 ($haystack) of type string is deprecated in /home/u344231864/domains/clickjumbo.com.br/public_html/wp/wp-includes/functions.php on line 7360
[13-Aug-2025 00:09:56 UTC] PHP Deprecated:  str_replace(): Passing null to parameter #3 ($subject) of type array|string is deprecated in /home/u344231864/domains/clickjumbo.com.br/public_html/wp/wp-includes/functions.php on line 2195
[13-Aug-2025 00:09:56 UTC] PHP Deprecated:  strpos(): Passing null to parameter #1 ($haystack) of type string is deprecated in /home/u344231864/domains/clickjumbo.com.br/public_html/wp/wp-includes/functions.php on line 7360
[13-Aug-2025 00:09:56 UTC] PHP Deprecated:  str_replace(): Passing null to parameter #3 ($subject) of type array|string is deprecated in /home/u344231864/domains/clickjumbo.com.br/public_html/wp/wp-includes/functions.php on line 2195
[13-Aug-2025 00:09:56 UTC] PHP Deprecated:  strpos(): Passing null to parameter #1 ($haystack) of type string is deprecated in /home/u344231864/domains/clickjumbo.com.br/public_html/wp/wp-includes/functions.php on line 7360
